Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL
At Least The Music's Good,At Least The Music's Good,,15,Expert,Kaizo,,,,
Athletic Plumber Twins,Athletic Plumber Twins,,24,Casual,Standard,,,,
Attempt at a Normal Hack,Attempt at a Normal Hack,,40,Intermediate,Standard,,,,
Autumn,Autumn,,18,Expert,Kaizo,,,,
Autumn Hike (Demo),Autumn Hike (Demo),,4,Newcomer,Standard,,,,
Awesome Mario World,Awesome Mario World,,11,Casual,Standard,,,,
Awful Mario World,Awful Mario World,,12,Expert,Kaizo,,,,
Ayashi Mario,Ayashi Mario,,5,Expert,Kaizo,,,,
Babby Builds Wevels,Babby Builds Wevels,,14,Advanced,Kaizo,,,,
Baby Kaizo World,Baby Kaizo World,,44,Advanced,Kaizo,,,,
Baby Kaizo World 2,Baby Kaizo World 2,,34,Intermediate,Kaizo,,,,
Back to the Classics,Back to the Classics,,36,Casual,Standard,,,,
Back to the Green Hill,Back to the Green Hill,,25,Master,Kaizo,,,,
Backwards Mario World,Backwards Mario World,,13,Intermediate,Kaizo,,,,
Backyard Kaizo,Backyard Kaizo,,3,Expert,Kaizo,,,,
Baker's Dozen,Baker's Dozen,,13,Advanced,Kaizo,,,,
BALL BUSTER,BALL BUSTER,,9,Expert,Kaizo,,,,
Ball of Revenge,Ball of Revenge,,10,Newcomer,Standard,,,,
Banana Is Missing!,Banana Is Missing!,,19,Intermediate,Standard,,,,
Banana's Quest,Banana's Quest,,23,Intermediate,Standard,,,,
BanShell,BanShell,,6,Master,Kaizo,,,,
Banzai Mario World,Banzai Mario World,,40,Expert,Kaizo,,,,
Banzai's Level Sampler,Banzai's Level Sampler,,10,Casual,Standard,,,,
Baron of Shell,Baron of Shell,,22,Master,Kaizo,,,,
Basic Mario Hack,Basic Mario Hack,,13,Intermediate,Standard,,,,
Basic Mario Hack 2 BETA,Basic Mario Hack 2 BETA,,11,Intermediate,Standard,,,,
Bavario Bros.,Bavario Bros.,,16,Expert,Kaizo,,,,
Beach Park At Isla Blanca,Beach Park At Isla Blanca,,8,Intermediate,Standard,,,,
Beachside Blitz,Beachside Blitz,,14,Advanced,Kaizo,,,,
Bearded Comedy World,Bearded Comedy World,,20,Expert,Kaizo,,,,
Bearded Comedy World 2 Demo,Bearded Comedy World 2 Demo,,5,Expert,Kaizo,,,,
Beautiful (Not So) Dangerous,Beautiful (Not So) Dangerous,,15,Intermediate,Kaizo,,,,
Beautiful Dangerous,Beautiful Dangerous,,20,Expert,Kaizo,,,,
BEES in Space!,BEES in Space!,,4,Intermediate,Standard,,,,
Before The Shrooms Kick In,Before The Shrooms Kick In,,12,Advanced,Kaizo,,,,
Beginning of the End,Beginning of the End,,9,Expert,Kaizo,,,,
"BeginningBrew - Super ""Real"" World","BeginningBrew - Super ""Real"" World",,11,Advanced,Kaizo,,,,
Beneath the Bottom of the Screen,Beneath the Bottom of the Screen,,13,Master,Kaizo,,,,
BETO UNIVERSE,BETO UNIVERSE,,7,Intermediate,Kaizo,,,,
Beyond Beco World,Beyond Beco World,,10,Advanced,Kaizo,,,,
Big Boo Gang,Big Boo Gang,,18,Casual,Standard,,,,
Big Boo's Revenge,Big Boo's Revenge,,91,Intermediate,Standard,,,,
Binary Perdition,Binary Perdition,,5,Grandmaster,Kaizo,,,,
Binary World,Binary World,,10,Advanced,Standard,,,,
Biob's Challenge,Biob's Challenge,,1,Master,"Tool-Assisted, Pit",,,,
Birola World,Birola World,,13,Expert,Kaizo,,,,
Bits and Pieces,Bits and Pieces,,58,Advanced,Standard,,,,
Blackout Shells,Blackout Shells,,4,Expert,Kaizo,,,,
BLACKOUT.exe,BLACKOUT.exe,,23,Expert,Kaizo,,,,
Blind Devil's Trip Back in Time,Blind Devil's Trip Back in Time,,33,Intermediate,Standard,,,,
Blind Race: Lucky Pick,Blind Race: Lucky Pick,,5,Advanced,Kaizo,,,,
Blockreator Hack,Blockreator Hack,,7,Advanced,Standard,,,,
Blocks and Hammers and Coins and Spikes,Blocks and Hammers and Coins and Spikes,,6,Master,Kaizo,,,,
Blooper Stole My Cake,Blooper Stole My Cake,,12,Master,Kaizo,,,,
Blue World,Blue World,,17,Advanced,Kaizo,,,,
Bluerio's Adventure,Bluerio's Adventure,,11,Expert,Kaizo,,,,
Blue's Revenge,Blue's Revenge,,17,Advanced,Kaizo,,,,
Bluewater Kingdom,Bluewater Kingdom,,24,Casual,Standard,,,,
Bob's Adventure,Bob's Adventure,,6,Casual,Standard,,,,
BokoBoko 2  - no yaba (smw remaster),BokoBoko 2  - no yaba (smw remaster),,11,Intermediate,Standard,,,,
BoliKa,BoliKa,,9,Expert,Kaizo,,,,
Bomberman X,Bomberman X,,41,Casual,Standard,,,,
Bonni's Quest,Bonni's Quest,,25,Casual,Standard,,,,
Boogie Wonderland,Boogie Wonderland,,20,Master,Kaizo,,,,
Boon's Adventure,Boon's Adventure,,0,Advanced,Kaizo,,,,
BooSide,BooSide,,8,Intermediate,Standard,,,,
BOOT IT UP,BOOT IT UP,,1,Master,Kaizo,,,,
Borealis Sh'El,Borealis Sh'El,,9,Master,Kaizo,,,,
Boris,Boris,,52,Casual,Standard,,,,
Bounceland: The Quest for The Holy Springboard,Bounceland: The Quest for The Holy Springboard,,10,Intermediate,Standard,,,,
Bowser Forest,Bowser Forest,,9,Intermediate,Standard,,,,
Bowser Jr.'s Pirate Ship,Bowser Jr.'s Pirate Ship,,7,Intermediate,Standard,,,,
Bowser Jr's Adventure,Bowser Jr's Adventure,,17,Casual,Standard,,,,
Bowser Rampages Again,Bowser Rampages Again,,48,Casual,Standard,,,,
Bowser Rampages Again 2 - Peach Rampages Back!,Bowser Rampages Again 2 - Peach Rampages Back!,,10,Casual,Standard,,,,
Bowser Runis Marios Vaction,Bowser Runis Marios Vaction,,6,Casual,Standard,,,,
Bowser Stadium,Bowser Stadium,,18,Casual,Standard,,,,
Bowser Strikes Back,Bowser Strikes Back,,11,Casual,Standard,,,,
Bowser's Armada,Bowser's Armada,,15,Casual,Standard,,,,
Bowser's Casino,Bowser's Casino,,0,Newcomer,Standard,,,,
Bowser's Castle,Bowser's Castle,,1,Casual,Standard,,,,
Bowser's Castle 2,Bowser's Castle 2,,1,Casual,Standard,,,,
Bowser's Dangerous Castle 2,Bowser's Dangerous Castle 2,,1,Casual,Standard,,,,
Bowser's Hideout,Bowser's Hideout,,4,Intermediate,Standard,,,,
Bowser's Hideout 2,Bowser's Hideout 2,,5,Expert,Standard,,,,
Bowser's Hideout Deluxe,Bowser's Hideout Deluxe,,5,Intermediate,Standard,,,,
Bowser's Kingdom,Bowser's Kingdom,,6,Casual,Standard,,,,
Bowser's Plan Part One: Alternate World,Bowser's Plan Part One: Alternate World,,9,Newcomer,Standard,,,,
Bowser's Revenge,Bowser's Revenge,,67,Intermediate,Standard,,,,
Bowser's Revenge 2,Bowser's Revenge 2,,68,Intermediate,Standard,,,,
Bowser's Revenge 3,Bowser's Revenge 3,,44,Intermediate,Standard,,,,
Bowser's Revenge 4,Bowser's Revenge 4,,70,Intermediate,Standard,,,,
Bowser's Time Machine,Bowser's Time Machine,,6,Newcomer,Standard,,,,
Box of Shadows,Box of Shadows,,28,Expert,Kaizo,,,,
Brave New World,Brave New World,,12,Expert,Kaizo,,,,
Brave New World 2,Brave New World 2,,26,Expert,Kaizo,,,,
Bread World,Bread World,,11,Intermediate,Kaizo,,,,
Breakfast Kaizo 2: Elevensies,Breakfast Kaizo 2: Elevensies,,10,Expert,Kaizo,,,,
Breaking SMW,Breaking SMW,,6,Master,Kaizo,,,,
Briefly12 World,Briefly12 World,,11,Advanced,Kaizo,,,,
BRMVR,BRMVR,,23,Casual,Standard,,,,
Broken Shell,Broken Shell,,12,Expert,Kaizo,,,,
Bro's Adventure,Bro's Adventure,,4,Casual,Standard,,,,
Brothermen,Brothermen,,5,Advanced,Kaizo,,,,
Brutal Bunny,Brutal Bunny,,5,Intermediate,"Kaizo, Tool-Assisted",,,,
Brutal Mario,Brutal Mario,,98,Intermediate,Standard,,,,
Buddy Shell,Buddy Shell,,12,Advanced,Kaizo,,,,
Buddy Shell 2,Buddy Shell 2,,25,Expert,Kaizo,,,,
Buddy Shell 2 REDUX,Buddy Shell 2 REDUX,,21,Expert,Kaizo,,,,
Bullymario's New Super Mario World,Bullymario's New Super Mario World,,80,Intermediate,Standard,,,,
Bunbun 3,Bunbun 3,,24,Advanced,Kaizo,,,,
Bunbun World,Bunbun World,,19,Advanced,Kaizo,,,,
Bunbun World 2,Bunbun World 2,,19,Advanced,Kaizo,,,,
Burning Star,Burning Star,,11,Expert,Kaizo,,,,
Burning Star 2 Deluxe,Burning Star 2 Deluxe,,16,Master,Kaizo,,,,
Burrito Rings,Burrito Rings,,10,Expert,Standard,,,,
BUTT GRAVY,BUTT GRAVY,,1,Advanced,Kaizo,,,,
Buzzed,Buzzed,,10,Advanced,Kaizo,,,,
Buzzy's World Tour,Buzzy's World Tour,,6,Intermediate,Standard,,,,
By The Harvest Moon,By The Harvest Moon,,5,Intermediate,Standard,,,,
Cacaphonic Chrysalis,Cacaphonic Chrysalis,,1,Master,Kaizo,,,,
Cadaverous Chains,Cadaverous Chains,,1,Expert,Kaizo,,,,
Candy Shop,Candy Shop,,12,Advanced,Kaizo,,,,
Candy Shop - Light Edition,Candy Shop - Light Edition,,10,Intermediate,Kaizo,,,,
Cangrejo Kaizo Land,Cangrejo Kaizo Land,,17,Advanced,Kaizo,,,,
Can't Stop Won't Stop,Can't Stop Won't Stop,,6,Expert,Kaizo,,,,
Cape is Good,Cape is Good,,7,Expert,Kaizo,,,,
Capirotada Land,Capirotada Land,,10,Expert,Kaizo,,,,
Capirotada Land 2: Meta Knight's Intervention,Capirotada Land 2: Meta Knight's Intervention,,18,Master,Kaizo,,,,
Captain Barry's Treasure,Captain Barry's Treasure,,8,Casual,Standard,,,,
Captain Toad treasure tracker for snes,Captain Toad treasure tracker for snes,,24,Intermediate,Standard,,,,
Captain Toad Treasure Tracker for SNES II,Captain Toad Treasure Tracker for SNES II,,25,Casual,Standard,,,,
Capture That Cake!,Capture That Cake!,,6,Casual,Standard,,,,
Carl vs Juz: Carl's Toilet,Carl vs Juz: Carl's Toilet,,1,Intermediate,Kaizo,,,,
Carl vs Juz: Juzt Desserts,Carl vs Juz: Juzt Desserts,,1,Expert,"Standard, Kaizo",,,,
Cartuchito World,Cartuchito World,,26,Casual,Standard,,,,
Casio Mario World,Casio Mario World,,9,Grandmaster,Kaizo,,,,
Castle of Terror 3,Castle of Terror 3,,1,Advanced,"Kaizo, Tool-Assisted",,,,
Castle of Time,Castle of Time,,5,Casual,Standard,,,,
Castlemania,Castlemania,,6,Intermediate,Standard,,,,
Castlemania - REVAMPED,Castlemania - REVAMPED,,6,Intermediate,Standard,,,,
Castlemania II,Castlemania II,,6,Advanced,Standard,,,,
Castlemania II - REVAMPED,Castlemania II - REVAMPED,,6,Advanced,Standard,,,,
CATACLYSM,CATACLYSM,,1,Grandmaster,"Tool-Assisted, Pit",,,,
Cave Escape,Cave Escape,,2,Casual,Standard,,,,
Caveat Emptor 2,Caveat Emptor 2,,11,Expert,Kaizo,,,,
Cazeaje World,Cazeaje World,,6,Expert,Kaizo,,,,
Celery,Celery,,20,Casual,Kaizo,,,,
Celeste.smc,Celeste.smc,,9,Expert,Kaizo,,,,
Chain Reaction,Chain Reaction,,15,Expert,Kaizo,,,,
Chain Reaction 2,Chain Reaction 2,,0,Expert,Kaizo,,,,
Chaos Chronicles,Chaos Chronicles,,11,Casual,Standard,,,,
Chaos CompleXX,Chaos CompleXX,,26,Intermediate,Standard,,,,
Chaotic Realm,Chaotic Realm,,10,Intermediate,Standard,,,,
Cheap & Nasty,Cheap & Nasty,,4,Expert,Kaizo,,,,
Cheep Cheep Challenge,Cheep Cheep Challenge,,0,Intermediate,Standard,,,,
Cheese Island,Cheese Island,,8,Newcomer,Standard,,,,
CHI,CHI,,11,Advanced,Kaizo,,,,
Chicanery,Chicanery,,17,Expert,Kaizo,,,,
Chicanery Beginner Edition,Chicanery Beginner Edition,,23,Intermediate,Kaizo,,,,
Chirality,Chirality,,10,Advanced,Kaizo,,,,
Choco COLLAB - MaSeHiHa 2,Choco COLLAB - MaSeHiHa 2,,12,Newcomer,Standard,,,,
Chocolate Flavour!,Chocolate Flavour!,,1,Casual,Standard,,,,
Chocolate Sunday,Chocolate Sunday,,19,Expert,Kaizo,,,,
Choconilla Kaizo Island,Choconilla Kaizo Island,,13,Expert,Kaizo,,,,
Chomp's Coin Hunt,Chomp's Coin Hunt,,5,Intermediate,"Standard, Kaizo",,,,
Chopped N' Screwed,Chopped N' Screwed,,8,Master,Kaizo,,,,
Christmas Balls,Christmas Balls,,12,Intermediate,Standard,,,,
Christmas Hack,Christmas Hack,,6,Intermediate,Standard,,,,
Christmas Island,Christmas Island,,4,Intermediate,Standard,,,,
Christmas Island 2,Christmas Island 2,,8,Casual,Standard,,,,
Christmas Puzzle,Christmas Puzzle,,27,Intermediate,Standard,,,,
Chronoclasm,Chronoclasm,,0,Expert,Kaizo,,,,
Chrysalis,Chrysalis,,9,Grandmaster,Kaizo,,,,
Chuck Must Die,Chuck Must Die,,22,Expert,Kaizo,,,,
Cinnamon Hills,Cinnamon Hills,,15,Casual,Standard,,,,
Classic Mario,Classic Mario,,7,Casual,Standard,,,,
Classic Mario World 2: The Great Alliance,Classic Mario World 2: The Great Alliance,,120,Intermediate,Standard,,,,
Classic Mario World 3: The Finale,Classic Mario World 3: The Finale,,120,Intermediate,Standard,,,,
Classic Mario World: The Magical Crystals,Classic Mario World: The Magical Crystals,,113,Intermediate,Standard,,,,
Classic's Super Mario Brothers,Classic's Super Mario Brothers,,32,Newcomer,Standard,,,,
Claustrophobia,Claustrophobia,,96,Expert,Kaizo,,,,
